Year,Team,Name,G,GS,GR,IP,W,L,S,HD,SO,BB,ERA,FIP,WHIP,WAR
2024,LG,이우찬,42,1,41,33.2,3,2,0,6,31,30,8.82,5.58,2.14,-0.75
2025,LG,치리노스,30,30,0,177.0,13,6,0,0,137,36,3.31,3.13,1.18,5.21
2025,LG,임찬규,27,27,0,160.1,11,7,0,0,107,40,3.03,3.82,1.27,4.9
2025,LG,손주영,30,27,3,153.0,11,6,0,0,132,49,3.41,3.49,1.32,3.82
2025,LG,송승기,28,27,1,144.0,11,6,0,0,125,49,3.5,4.1,1.38,3.55
2025,LG,김영우,66,0,66,60.0,3,2,1,7,56,30,2.4,3.64,1.32,1.5
2025,LG,톨허스트,8,8,0,44.0,6,2,0,0,45,16,2.86,3.21,1.25,1.31
2025,LG,에르난데스,14,14,0,66.0,4,4,0,0,73,24,4.23,3.82,1.17,1.28
2025,LG,유영찬,39,0,39,41.0,2,2,21,1,52,23,2.63,3.2,1.32,0.92
2025,LG,장현식,56,0,56,49.2,3,3,10,5,38,21,4.35,4.58,1.73,0.73
2025,LG,박명근,44,0,44,38.2,3,4,4,10,30,16,4.89,5.09,1.34,0.62
2025,LG,이정용,39,0,39,34.0,6,1,1,7,26,12,5.03,4.37,1.29,0.57
2025,LG,김진성,78,0,78,70.2,6,4,1,33,63,24,3.44,3.91,1.2,0.54
2025,LG,이우찬,23,0,23,19.0,0,1,0,0,20,14,1.89,3.81,1.42,0.46
2025,LG,김강률,12,0,12,12.1,1,0,1,4,9,8,1.46,4.43,1.22,0.4
2025,LG,최채흥,13,4,9,29.0,0,1,0,2,21,14,5.28,4.99,1.69,0.17
2025,LG,백승현,33,0,33,30.0,1,0,0,2,27,28,3.9,5.45,1.87,0.16
2025,LG,임준형,5,0,5,4.2,0,0,0,0,2,2,1.93,4.22,1.29,0.16
2025,LG,배재준,14,0,14,13.0,0,0,0,1,14,7,5.54,4.11,1.23,0.14
2025,LG,우강훈,11,0,11,9.2,0,0,0,0,5,6,4.66,5.27,1.86,0.06
2025,LG,이종준,2,0,2,1.2,0,0,0,0,2,1,0.0,2.84,0.6,0.02
2025,LG,박시원,2,0,2,1.1,0,0,0,0,0,5,13.5,15.92,3.75,-0.01
2025,LG,김주온,1,1,0,0.1,0,1,0,0,1,2,27.0,34.82,6.0,-0.04
2025,LG,이지강,43,1,42,47.1,1,2,3,4,39,24,5.32,4.55,1.56,-0.04
2025,LG,코엔 윈,5,5,0,23.0,1,1,0,0,8,4,7.04,6.37,1.39,-0.06
2025,LG,함덕주,31,0,31,27.0,2,3,0,1,26,18,6.0,4.09,1.19,-0.07
2025,LG,김진수,4,0,4,5.0,0,0,0,0,6,1,9.0,6.32,2.4,-0.07
2025,LG,김종운,2,0,2,1.2,0,0,0,0,2,0,5.4,15.2,1.2,-0.08
2025,LG,정우영,4,0,4,2.2,0,0,0,0,3,4,20.25,11.57,1.88,-0.11
2025,LG,김유영,6,0,6,4.1,0,0,0,0,5,4,12.46,4.73,2.77,-0.23
2025,LG,성동현,12,0,12,9.0,0,0,0,0,6,9,9.0,8.1,2.11,-0.28
2020,한화,김민우,26,25,1,132.2,5,10,0,0,124,72,4.34,4.83,1.45,2.59
2020,한화,강재민,50,0,50,49.0,1,2,1,14,57,18,2.57,2.89,1.2,1.81
2020,한화,서폴드,28,28,0,165.0,10,13,0,0,97,42,4.91,4.93,1.48,1.59
2020,한화,장시환,26,26,0,132.2,4,14,0,0,115,74,5.02,5.09,1.61,1.51
2020,한화,윤대경,55,0,55,51.0,5,0,0,7,42,25,1.59,4.22,1.43,1.21
2020,한화,김진영,58,0,58,54.0,3,3,0,8,56,22,3.33,4.16,1.3,0.8
2020,한화,정우람,50,0,50,54.1,3,5,16,0,53,12,4.8,3.35,1.29,0.79
2020,한화,김범수,24,8,16,55.0,3,6,0,0,55,42,5.24,5.92,1.76,0.52
2020,한화,채드벨,16,16,0,77.0,2,8,0,0,61,35,5.96,5.17,1.56,0.52
2020,한화,송윤준,26,0,26,23.0,0,0,0,1,16,13,4.3,4.66,1.57,0.39
2020,한화,문동욱,19,0,19,18.0,0,1,1,1,9,17,4.5,7.34,1.61,0.35
2020,한화,김진욱,22,6,16,44.2,3,4,1,0,29,25,5.64,6.85,1.68,0.26
2020,한화,장웅정,2,2,0,7.2,0,1,0,0,5,6,3.52,4.79,1.7,0.24
2020,한화,서균,7,0,7,7.1,0,0,0,0,1,6,0.0,6.61,1.77,0.23
2020,한화,김도현,17,15,2,64.2,2,7,0,0,41,44,6.82,6.37,1.84,0.07
2020,한화,신정락,16,0,16,12.0,0,1,0,0,14,7,9.0,5.39,1.83,0.03
2020,한화,장민재,24,10,14,57.1,2,7,0,0,32,13,6.75,4.45,1.73,-0.04
2020,한화,이태양,7,0,7,8.2,0,0,0,0,8,5,7.27,4.85,1.85,-0.07
2020,한화,한승주,1,1,0,1.2,0,0,0,0,2,2,16.2,11.86,3.0,-0.11
2020,한화,박상원,62,0,62,58.0,1,0,1,10,52,20,4.66,4.62,1.41,-0.12
2020,한화,윤규진,2,0,2,3.2,0,0,0,0,4,1,7.36,5.36,2.18,-0.14
2020,한화,안영명,39,0,39,45.2,1,1,0,1,34,18,5.91,5.84,1.51,-0.18
2020,한화,이현호,16,0,16,15.1,0,2,0,0,15,10,6.46,6.88,1.83,-0.2
2020,한화,김기탁,5,0,5,7.0,0,0,0,0,3,5,9.0,6.84,2.57,-0.22
2020,한화,윤호솔,6,0,6,6.0,0,1,0,0,4,6,10.5,9.4,2.33,-0.25
2020,한화,박성웅,11,5,6,24.2,0,5,0,0,19,16,8.39,6.49,1.86,-0.3
2020,한화,김종수,54,0,54,50.0,1,1,1,7,43,26,5.94,5.07,1.6,-0.39
2020,한화,오동욱,4,1,3,10.0,0,1,0,0,5,7,13.5,9.11,2.9,-0.54
2020,한화,임준섭,10,1,9,8.2,0,2,0,1,6,6,13.5,5.78,2.77,-0.6
2020,한화,황영국,21,0,21,19.1,0,0,0,4,17,14,10.24,6.21,2.22,-0.61
2021,한화,킹험,25,25,0,144.0,10,8,0,0,131,41,3.19,3.39,1.1,4.05
2021,한화,김민우,29,28,1,155.1,14,10,0,0,125,76,4.0,4.56,1.33,3.86
2021,한화,카펜터,31,30,1,170.0,5,12,0,0,179,72,3.97,3.91,1.31,2.74
2021,한화,강재민,58,0,58,63.1,2,1,5,13,55,26,2.13,3.39,1.22,1.97
2021,한화,윤대경,43,9,34,77.2,2,5,0,7,54,34,3.94,4.81,1.38,1.46
2021,한화,주현상,43,0,43,50.1,2,2,0,4,33,21,3.58,4.78,1.33,0.81
2021,한화,김범수,56,2,54,70.2,4,9,1,9,70,42,5.22,3.56,1.56,0.7
2021,한화,김기중,15,12,3,53.2,2,4,0,0,36,36,4.7,5.29,1.84,0.45
2021,한화,장민재,12,6,6,29.1,0,2,0,0,13,8,2.76,5.13,1.43,0.39
2021,한화,배동현,20,4,16,38.0,1,3,0,0,26,25,4.5,5.36,1.55,0.36
