Year,Team,Name,G,GS,GR,IP,W,L,S,HD,SO,BB,ERA,FIP,WHIP,WAR
2025,한화,권민규,5,0,5,5.1,0,0,0,0,4,7,8.44,8.47,2.25,-0.03
2025,한화,강재민,4,0,4,4.0,0,0,0,0,5,2,9.0,6.17,2.0,-0.07
2025,한화,원종혁,2,0,2,1.2,0,0,0,0,1,2,16.2,6.26,3.0,-0.1
2025,한화,주현상,48,0,48,41.2,5,2,1,3,37,10,5.18,4.98,1.66,-0.12
2025,한화,김승일,5,0,5,2.2,0,0,0,0,3,3,23.63,12.77,2.25,-0.18
2025,한화,엄상백,28,16,12,80.2,2,7,0,1,74,38,6.58,5.37,1.79,-0.19
2025,한화,이상규,5,0,5,9.0,0,1,0,0,5,4,8.0,3.95,2.22,-0.29
2020,SSG,문승원,25,25,0,145.2,6,8,0,0,117,45,3.65,4.13,1.24,3.87
2020,SSG,박종훈,29,28,1,157.1,13,11,0,0,134,78,4.81,4.9,1.42,2.77
2020,SSG,박민호,57,0,57,52.0,2,1,4,11,36,19,2.42,4.43,1.19,1.42
2020,SSG,이건욱,27,25,2,122.0,6,12,0,0,91,81,5.68,5.41,1.52,1.36
2020,SSG,정수민,3,3,0,15.2,1,0,0,0,11,5,1.15,3.23,1.02,0.94
2020,SSG,조이현,35,7,28,77.0,2,4,0,0,38,25,5.96,5.7,1.57,0.52
2020,SSG,이태양,46,0,46,47.1,2,1,0,4,37,11,5.13,4.52,1.44,0.45
2020,SSG,핀토,30,30,0,162.0,6,15,0,0,112,90,6.17,5.58,1.78,0.43
2020,SSG,서진용,63,0,63,61.0,2,7,8,12,56,34,4.13,5.62,1.41,0.35
2020,SSG,김사윤,57,0,57,47.1,1,1,1,10,42,45,5.13,6.5,1.73,0.17
2020,SSG,윤희상,4,1,3,3.0,0,0,0,0,2,2,3.0,4.4,1.0,0.11
2020,SSG,김태훈,33,8,25,62.0,1,6,0,4,43,39,7.4,5.95,1.61,0.08
2020,SSG,박희수,28,0,28,24.2,0,1,0,0,26,10,5.47,4.55,1.54,0.03
2020,SSG,서동민,9,0,9,8.1,0,0,0,0,7,4,5.4,6.24,1.68,0.02
2020,SSG,강지광,6,0,6,3.2,0,0,0,0,4,1,4.91,5.36,2.18,-0.01
2020,SSG,양선률,1,0,1,1.0,0,0,0,0,0,2,9.0,22.1,3.0,-0.09
2020,SSG,오원석,8,1,7,9.2,0,1,0,0,9,6,5.59,5.14,1.86,-0.1
2020,SSG,신재웅,24,0,24,19.1,2,0,0,0,11,14,9.31,7.9,2.07,-0.11
2020,SSG,김찬호,3,0,3,2.0,0,0,0,0,1,4,27.0,14.9,4.5,-0.12
2020,SSG,윤강민,1,0,1,0.2,0,0,0,0,1,1,67.5,9.55,7.5,-0.15
2020,SSG,김주온,29,0,29,31.0,0,3,0,0,18,22,7.55,7.16,2.19,-0.21
2020,SSG,킹험,2,2,0,10.2,0,2,0,0,6,4,6.75,4.87,1.88,-0.23
2020,SSG,이원준,17,0,17,19.1,0,1,0,0,17,16,7.45,5.89,2.28,-0.3
2020,SSG,백승건,10,7,3,29.1,0,5,0,0,28,31,7.98,7.94,2.32,-0.32
2020,SSG,김세현,42,0,42,42.0,2,0,1,7,35,22,5.79,5.59,1.57,-0.42
2020,SSG,김주한,22,7,15,46.0,1,7,0,0,22,20,7.43,6.5,1.74,-0.46
2020,SSG,김택형,31,0,31,23.0,1,3,0,3,22,20,8.61,6.89,2.0,-0.57
2020,SSG,정영일,29,0,29,23.1,2,2,2,2,17,11,6.56,6.96,1.8,-0.57
2021,SSG,폰트,25,25,0,145.2,8,5,0,0,157,45,3.46,3.12,1.09,3.5
2021,SSG,김택형,59,0,59,75.1,5,1,7,4,62,42,2.39,3.95,1.37,2.14
2021,SSG,박종훈,9,9,0,54.1,4,2,0,0,41,17,2.82,3.69,1.05,1.87
2021,SSG,문승원,9,9,0,50.1,2,2,0,0,32,18,2.86,3.65,1.19,1.47
2021,SSG,장지훈,60,0,60,80.1,2,5,1,10,51,19,3.92,3.96,1.28,1.47
2021,SSG,서진용,65,0,65,67.1,7,5,9,3,62,43,3.34,4.85,1.49,1.27
2021,SSG,김태훈,65,0,65,58.0,2,4,1,16,49,38,4.97,5.55,1.6,0.76
2021,SSG,박민호,40,0,40,41.0,4,0,0,5,19,11,3.73,4.61,1.37,0.68
2021,SSG,김상수,50,0,50,58.1,4,3,6,5,44,30,5.09,5.46,1.73,0.67
2021,SSG,가빌리오,15,15,0,81.1,6,4,0,0,70,30,5.86,3.97,1.45,0.67
2021,SSG,최민준,38,12,26,86.0,3,3,0,4,62,50,5.86,5.54,1.66,0.59
2021,SSG,이태양,40,14,26,103.2,5,10,0,4,62,32,5.73,6.1,1.5,0.51
2021,SSG,르위키,4,4,0,14.1,1,0,0,0,9,2,3.77,4.29,1.19,0.4
2021,SSG,조이현,30,8,22,66.2,4,8,1,0,48,26,5.67,4.96,1.5,0.36
2021,SSG,김건우,6,4,2,11.0,0,1,0,0,7,12,4.91,6.64,1.82,0.25
2021,SSG,서동민,20,0,20,26.1,0,0,0,0,24,17,5.13,5.87,1.67,0.17
2021,SSG,신재영,20,1,19,28.1,0,0,0,0,27,2,5.72,3.3,1.31,0.09
2021,SSG,신재웅,8,0,8,8.1,0,0,0,0,9,5,4.32,2.93,1.32,0.08
2021,SSG,정동윤,1,0,1,2.0,0,0,0,0,0,1,0.0,5.32,1.0,0.07
2021,SSG,김주온,2,0,2,2.0,0,0,0,0,3,2,0.0,4.67,1.5,0.07
2021,SSG,정수민,10,7,3,30.1,1,2,0,0,22,27,6.82,7.07,2.01,0.04
2021,SSG,조요한,6,0,6,7.0,0,0,0,1,4,9,7.71,6.32,2.71,-0.03
2021,SSG,정영일,1,0,1,2.0,0,0,0,0,0,0,9.0,9.72,2.0,-0.04
2021,SSG,조병현,3,3,0,6.2,0,0,0,0,8,5,8.1,5.34,1.8,-0.11
2021,SSG,강지광,1,0,1,1.0,0,0,0,0,1,4,36.0,13.67,7.0,-0.14
2021,SSG,김세현,5,0,5,4.1,0,0,0,0,5,7,10.38,5.17,3.69,-0.16
2021,SSG,이채호,3,0,3,5.0,0,0,0,0,3,3,7.2,8.89,2.2,-0.16
2021,SSG,양선률,1,1,0,1.0,0,1,0,0,1,3,27.0,13.67,6.0,-0.17
2021,SSG,오원석,33,21,12,110.0,7,6,0,2,95,73,5.89,5.14,1.8,-0.29
2021,SSG,이건욱,5,4,1,12.2,0,1,0,0,5,19,11.37,11.43,2.76,-0.36
2021,SSG,김사윤,6,6,0,17.1,0,1,0,0,21,20,9.87,8.46,2.31,-0.4
2022,SSG,김광현,28,28,0,173.1,13,3,0,0,153,45,2.13,3.14,1.07,6.63
2022,SSG,폰트,28,28,0,184.0,13,6,0,0,170,34,2.69,3.31,0.95,5.78
2022,SSG,모리만도,12,12,0,75.1,7,1,0,0,67,23,1.67,2.99,1.06,3.09
2022,SSG,노경은,41,8,33,79.2,12,5,1,7,55,23,3.05,3.86,1.15,2.49
2022,SSG,이태양,30,17,13,112.0,8,3,0,1,61,24,3.62,4.76,1.25,2.4
2022,SSG,오원석,31,24,7,144.0,6,8,0,0,112,58,4.5,4.48,1.5,2.11
2022,SSG,서진용,68,0,68,67.1,7,3,21,12,55,36,4.01,4.33,1.49,1.16
2022,SSG,최민준,51,1,50,68.1,5,4,0,5,48,34,3.95,5.4,1.24,0.65
2022,SSG,김택형,64,0,64,60.1,3,5,17,10,62,22,4.92,4.03,1.31,0.63
2022,SSG,장지훈,40,0,40,55.0,2,0,0,6,33,11,4.25,4.37,1.22,0.44
2022,SSG,고효준,45,0,45,38.2,1,0,0,7,35,20,3.72,3.51,1.42,0.26
2022,SSG,서동민,20,0,20,21.0,1,1,0,5,19,11,2.57,4.99,1.14,0.26
2022,SSG,박민호,22,0,22,22.0,1,1,1,4,12,11,4.09,5.88,1.68,0.12
2022,SSG,박종훈,11,11,0,48.0,3,5,0,0,40,21,6.0,5.06,1.52,0.05
2022,SSG,김주온,5,0,5,4.0,0,0,0,0,4,5,11.25,8.13,2.0,-0.02
2022,SSG,전영준,4,1,3,5.0,0,0,0,0,7,3,7.2,7.52,2.0,-0.02
2022,SSG,이건욱,1,1,0,3.0,0,1,0,0,2,4,9.0,10.22,2.0,-0.04
2022,SSG,박시후,2,0,2,1.0,0,0,0,0,0,0,18.0,3.78,3.0,-0.04
2022,SSG,문승원,23,0,23,24.2,1,1,3,3,25,7,5.11,3.83,1.58,-0.05
2022,SSG,김건우,2,1,1,3.0,0,0,0,0,1,4,9.0,11.05,3.0,-0.06
2022,SSG,신헌민,1,0,1,1.0,0,0,0,0,1,0,9.0,1.28,3.0,-0.06
2022,SSG,정성곤,2,0,2,2.2,0,0,0,0,3,3,10.13,10.08,1.5,-0.08
2022,SSG,윤태현,3,0,3,2.0,0,0,0,0,2,2,9.0,4.38,2.0,-0.1
2022,SSG,조요한,23,0,23,19.1,2,1,0,5,15,13,6.52,5.8,1.55,-0.12
2022,SSG,신재영,4,0,4,4.1,0,0,0,0,4,0,12.46,6.97,2.08,-0.15
2022,SSG,김상수,8,0,8,8.0,0,0,1,0,3,4,9.0,7.76,1.63,-0.17
2022,SSG,김태훈,9,0,9,5.1,0,0,1,3,1,10,10.13,13.59,3.0,-0.27
2022,SSG,노바,12,12,0,63.2,3,4,0,0,32,25,6.5,4.92,1.62,-0.37
2022,SSG,한두솔,8,0,8,5.1,0,0,0,0,1,4,16.88,5.64,2.63,-0.54
2023,SSG,김광현,30,30,0,168.1,9,8,0,0,119,70,3.53,4.19,1.38,3.63
2023,SSG,엘리아스,22,21,1,131.1,8,6,0,0,93,33,3.7,4.09,1.32,2.92
2023,SSG,맥카티,24,24,0,130.0,9,5,0,0,116,45,3.39,3.63,1.3,2.87
2023,SSG,서진용,69,0,69,73.0,5,4,42,0,64,49,2.59,4.27,1.53,2.65
2023,SSG,노경은,76,0,76,83.0,9,5,2,30,65,36,3.58,3.81,1.37,1.62
2023,SSG,오원석,28,27,1,144.2,8,10,0,0,88,69,5.23,4.9,1.57,1.06
2023,SSG,고효준,73,0,73,58.0,4,1,0,13,66,42,4.5,4.03,1.57,0.67
2023,SSG,이건욱,27,1,26,38.2,1,0,0,0,31,25,2.09,4.01,1.45,0.61
2023,SSG,문승원,50,12,38,105.0,5,8,1,9,65,35,5.23,4.84,1.65,0.6
2023,SSG,백승건,25,2,23,38.0,2,2,0,3,29,17,4.97,5.52,1.53,0.25
2023,SSG,박민호,10,0,10,10.0,0,0,0,0,4,1,0.9,3.78,1.5,0.24
2023,SSG,최민준,53,0,53,60.0,5,3,1,7,37,19,4.2,4.68,1.57,0.22
2023,SSG,박종훈,18,16,2,80.0,2,6,0,0,56,60,6.19,6.35,1.71,0.11
2023,SSG,서동민,2,0,2,1.0,0,0,0,0,1,3,0.0,10.65,3.0,0.04
2023,SSG,조성훈,2,2,0,7.0,0,1,0,0,4,4,6.43,5.08,2.0,0.01
2023,SSG,김주한,1,0,1,0.0,0,0,0,0,0,1,99.99,15003.8,99.99,-0.01
2023,SSG,한두솔,1,0,1,1.0,0,0,0,0,2,1,9.0,5.05,2.0,-0.01
2023,SSG,이기순,2,0,2,3.0,0,0,0,0,3,4,9.0,9.45,2.33,-0.03
2023,SSG,서상준,2,0,2,2.0,0,0,0,0,3,5,0.0,7.85,3.0,-0.06
2023,SSG,신헌민,11,0,11,12.0,0,0,0,0,8,6,6.0,4.47,2.08,-0.07
2023,SSG,김주온,1,0,1,0.1,0,0,0,0,1,1,81.0,14.95,9.0,-0.1
2023,SSG,송영진,17,9,8,47.1,3,3,0,0,38,31,5.7,4.76,1.63,-0.17
2023,SSG,이로운,50,0,50,57.2,6,1,0,5,52,29,5.62,4.65,1.66,-0.19
2023,SSG,임준섭,41,0,41,32.2,0,2,0,4,26,19,5.79,4.12,1.93,-0.26
2023,SSG,정성곤,6,0,6,4.1,0,0,0,0,3,7,10.38,12.62,3.46,-0.35
2024,SSG,엘리아스,22,21,1,123.2,7,7,0,0,104,30,4.08,4.31,1.26,3.61
2024,SSG,앤더슨,24,23,1,115.2,11,3,0,0,158,53,3.89,3.64,1.31,3.45
2024,SSG,김광현,31,31,0,162.1,12,10,0,0,154,73,4.93,5.18,1.45,2.97
2024,SSG,노경은,77,0,77,83.2,8,5,0,38,71,32,2.9,4.76,1.23,2.64
2024,SSG,오원석,29,25,4,121.2,6,9,0,1,112,65,5.03,5.62,1.54,2.31
2024,SSG,조병현,76,0,76,73.0,4,6,12,12,96,31,3.58,3.61,1.14,2.11
2024,SSG,문승원,62,0,62,60.0,6,1,20,6,53,24,4.5,5.23,1.52,0.91
2024,SSG,송영진,26,20,6,99.1,5,10,0,0,67,51,5.8,5.42,1.64,0.82
2024,SSG,한두솔,69,0,69,59.1,2,1,0,3,68,31,5.01,3.69,1.57,0.71
2024,SSG,이기순,10,2,8,19.2,1,1,0,0,24,23,3.66,6.3,1.78,0.41
2024,SSG,시라카와,5,5,0,23.0,2,2,0,0,27,9,5.09,4.24,1.65,0.41
2024,SSG,이로운,62,0,62,56.0,1,3,1,9,41,43,5.95,5.77,1.96,0.2
2024,SSG,박종훈,10,9,1,35.0,1,4,0,0,34,21,6.94,6.83,1.66,0.12
2024,SSG,박민호,19,0,19,22.2,2,0,0,0,10,7,4.76,6.36,1.41,0.11
2024,SSG,박시후,11,0,11,14.2,0,0,0,0,11,7,6.75,5.13,1.7,0.09
2024,SSG,박성빈,3,0,3,2.1,0,0,0,0,2,0,0.0,3.46,0.43,0.09
2024,SSG,정동윤,3,0,3,1.2,0,0,0,0,2,1,0.0,3.15,1.2,0.05
2024,SSG,김택형,6,0,6,7.0,0,1,0,0,1,6,9.0,8.77,2.29,-0.05
2024,SSG,장지훈,18,0,18,21.1,0,0,0,0,10,10,6.75,6.38,1.83,-0.12
2024,SSG,백승건,10,0,10,9.1,0,0,0,0,5,9,7.71,8.53,2.36,-0.13
2024,SSG,최현석,2,0,2,0.2,0,0,0,0,1,3,54.0,32.73,12.0,-0.15
2024,SSG,고효준,26,0,26,22.0,2,1,0,5,27,20,8.18,6.38,1.95,-0.18
2024,SSG,신헌민,3,0,3,3.0,0,0,0,0,0,3,18.0,16.43,3.33,-0.2
2024,SSG,김주온,2,0,2,4.2,0,0,0,0,4,3,15.43,9.25,2.36,-0.25
2024,SSG,서진용,51,0,51,47.0,0,1,0,6,38,26,5.55,5.18,1.66,-0.4
2024,SSG,이건욱,10,2,8,19.0,1,2,0,0,17,15,11.37,7.99,2.58,-0.58
2024,SSG,최민준,32,0,32,39.1,1,0,0,0,40,24,7.78,6.53,2.16,-0.7
2024,SSG,더거,6,6,0,22.2,0,3,0,0,18,10,12.71,5.13,2.07,-0.84
2025,SSG,앤더슨,30,30,0,171.2,12,7,0,0,245,51,2.25,2.37,1.0,6.54
2025,SSG,화이트,24,24,0,134.2,11,4,0,0,137,44,2.87,3.38,1.15,4.24
2025,SSG,조병현,69,0,69,67.1,5,4,30,0,79,18,1.6,2.63,0.89,3.37
2025,SSG,노경은,77,0,77,80.0,3,6,3,35,68,25,2.14,3.05,1.06,3.13
2025,SSG,이로운,75,0,75,77.0,6,5,1,33,66,26,1.99,3.77,1.06,2.85
2025,SSG,김민,70,0,70,63.2,5,2,1,22,65,17,2.97,3.83,1.21,1.99
2025,SSG,김광현,28,28,0,144.0,10,10,0,0,138,50,5.0,3.77,1.49,1.62
2025,SSG,문승원,23,21,2,105.1,4,7,0,0,61,38,5.13,5.58,1.4,1.51
2025,SSG,김건우,35,13,22,66.0,5,4,0,2,68,49,3.82,4.37,1.55,1.35
2025,SSG,최민준,40,8,32,65.2,2,2,0,1,44,24,3.97,4.65,1.46,0.99
2025,SSG,전영준,34,5,29,52.2,1,5,0,0,55,26,4.61,4.26,1.41,0.75
2025,SSG,김택형,25,0,25,22.2,0,0,0,1,14,10,2.78,4.21,1.28,0.56
2025,SSG,박시후,52,1,51,52.1,6,2,0,3,34,29,3.27,5.45,1.41,0.38
2025,SSG,한두솔,44,0,44,36.1,2,0,1,3,27,19,4.95,4.06,1.79,0.36
2025,SSG,박기호,18,1,17,24.0,0,0,0,2,13,12,3.0,6.59,1.46,0.32
2025,SSG,송영진,21,8,13,63.1,2,5,0,0,40,31,5.83,5.89,1.71,0.17
2025,SSG,신지환,1,0,1,1.0,0,0,0,0,1,0,0.0,4.62,0.0,0.04
2025,SSG,최현석,13,0,13,17.1,0,0,0,0,11,6,6.23,7.24,1.56,0.02
2025,SSG,서진용,2,0,2,1.1,0,0,0,0,0,3,6.75,11.12,3.0,-0.02
2025,SSG,박종훈,5,5,0,19.0,0,2,0,0,10,18,7.11,8.98,1.74,-0.06
2025,SSG,정동윤,12,0,12,17.1,0,0,0,0,17,12,8.31,5.06,1.9,-0.26
2020,삼성,뷰캐넌,27,27,0,174.2,15,7,0,0,121,50,3.45,4.36,1.27,5.98
2020,삼성,최채흥,26,26,0,146.0,11,6,0,0,123,51,3.58,4.1,1.25,4.29
2020,삼성,라이블리,21,21,0,112.0,6,7,0,0,95,39,4.26,4.45,1.22,2.79
2020,삼성,원태인,27,26,1,140.0,6,10,0,0,78,56,4.89,5.55,1.56,2.47
2020,삼성,오승환,45,0,45,47.2,3,2,18,2,39,15,2.64,3.55,1.24,1.92
2020,삼성,이승현,65,0,65,54.1,1,2,0,14,52,25,3.48,5.44,1.29,1.47
2020,삼성,김대우,28,9,19,77.2,3,7,0,1,37,26,5.1,5.46,1.56,1.04
2020,삼성,허윤동,11,11,0,45.0,2,1,0,0,18,31,4.8,6.33,1.64,0.9
2020,삼성,최지광,51,0,51,44.1,1,3,0,15,45,31,4.87,4.16,1.47,0.73
2020,삼성,임현준,51,0,51,25.1,1,1,0,5,18,7,1.78,4.63,1.22,0.54
2020,삼성,노건우,45,0,45,36.1,2,3,0,10,34,29,4.46,5.28,1.57,0.42
2020,삼성,우규민,52,0,52,48.0,3,3,7,11,30,9,6.19,3.76,1.46,0.38
2020,삼성,장필준,31,2,29,36.0,0,3,0,4,26,16,5.75,5.55,1.72,0.29
2020,삼성,김무신,61,0,61,58.0,3,5,0,12,41,31,4.66,5.06,1.67,0.29
2020,삼성,양창섭,7,0,7,6.2,0,0,0,0,4,3,2.7,5.21,1.35,0.2
2020,삼성,백정현,11,11,0,59.0,4,4,0,0,46,17,5.19,5.61,1.42,0.19
2020,삼성,이승민,7,5,2,26.1,1,3,0,0,16,19,6.84,6.97,2.01,0.13
2020,삼성,윤성환,5,5,0,18.2,0,2,0,0,4,11,5.79,5.78,1.61,0.09
2020,삼성,이상민,17,1,16,14.0,0,1,0,1,13,11,6.43,7.51,2.0,0.08
2020,삼성,홍원표,1,0,1,1.0,0,0,0,0,0,1,0.0,10.2,2.0,0.04
2020,삼성,정인욱,5,0,5,5.1,0,0,0,0,3,4,8.44,7.73,1.69,-0.01
2020,삼성,홍정우,30,0,30,30.0,0,0,0,1,29,12,6.6,4.91,1.63,-0.03
2020,삼성,심창민,23,0,23,20.1,2,2,0,3,21,18,7.52,6.22,1.77,-0.13
2020,삼성,이재익,4,0,4,0.2,0,0,0,0,1,2,99.99,45.25,15.0,-0.37
2020,삼성,권오준,17,0,17,16.0,0,2,0,1,10,3,8.44,5.25,1.56,-0.41
2020,삼성,황동재,1,0,1,1.1,0,0,0,0,3,4,54.0,16.6,9.0,-0.5
2020,삼성,장지훈,29,0,29,27.2,0,1,0,0,24,21,10.08,7.53,2.17,-0.72
2021,삼성,백정현,27,27,0,157.2,14,5,0,0,109,54,2.63,4.23,1.24,5.54
2021,삼성,원태인,26,26,0,158.2,14,7,0,0,129,51,3.06,3.65,1.25,5.36
2021,삼성,뷰캐넌,30,30,0,177.0,16,5,0,0,162,59,3.1,3.39,1.31,5.09
2021,삼성,오승환,64,0,64,62.0,0,2,44,0,57,16,2.03,2.79,1.16,2.42
2021,삼성,최채흥,26,20,6,122.1,5,9,0,2,82,37,4.56,4.61,1.47,2.11
2021,삼성,라이블리,6,6,0,33.1,0,1,0,0,38,13,4.05,4.02,1.08,0.82
2021,삼성,우규민,60,0,60,49.0,3,3,2,24,35,9,3.31,3.83,1.37,0.76
2021,삼성,몽고메리,11,11,0,52.0,2,5,0,0,55,38,5.37,4.31,1.62,0.6
2021,삼성,이재희,5,5,0,21.2,0,1,0,0,17,10,5.4,4.33,1.57,0.44
2021,삼성,이승현,41,0,41,39.1,1,4,0,7,46,23,5.26,3.8,1.47,0.43
2021,삼성,최지광,60,0,60,51.1,7,1,0,14,49,27,4.91,4.29,1.56,0.4
2021,삼성,노건우,16,0,16,19.0,0,2,0,1,19,14,4.74,4.97,1.26,0.36
2021,삼성,심창민,59,0,59,51.1,3,2,0,16,58,32,5.08,5.09,1.54,0.3
2021,삼성,문용익,22,0,22,22.0,2,0,0,2,19,10,4.5,4.78,1.41,0.26
2021,삼성,홍정우,15,0,15,15.2,2,0,0,0,12,4,3.45,4.92,1.15,0.15
2021,삼성,이상민,30,0,30,24.2,1,1,0,3,14,14,4.74,5.07,1.7,0.06
2021,삼성,김대우,31,4,27,51.0,0,2,0,1,27,15,6.35,5.05,1.63,0.02
2021,삼성,양창섭,9,0,9,15.0,1,1,0,1,13,8,6.6,5.63,1.93,0.0
2021,삼성,이재익,11,0,11,10.0,2,0,0,0,5,12,4.5,7.12,2.3,-0.03
2021,삼성,임현준,27,0,27,11.0,1,2,0,5,8,7,6.55,5.05,1.64,-0.1
2021,삼성,김무신,20,1,19,19.0,0,0,0,1,25,17,6.63,4.67,2.21,-0.15
2021,삼성,박세웅,4,0,4,3.0,0,0,0,0,2,3,9.0,10.2,2.67,-0.17
2021,삼성,구준범,1,1,0,2.0,0,0,0,0,1,3,22.5,20.62,2.5,-0.2
2021,삼성,이승민,11,11,0,35.2,1,4,0,0,22,18,8.58,6.05,1.91,-0.2
2021,삼성,허윤동,1,1,0,3.2,0,1,0,0,3,1,12.27,6.66,2.45,-0.22
2021,삼성,이승현,21,0,21,17.0,1,1,0,1,7,8,9.53,8.4,2.24,-0.3
2021,삼성,장필준,41,0,41,34.2,0,0,0,2,24,27,7.27,5.82,2.11,-0.77
2022,삼성,수아레즈,30,29,1,173.2,6,8,0,0,159,50,2.49,2.94,1.16,5.54
2022,삼성,뷰캐넌,26,26,0,160.0,11,8,0,0,117,39,3.04,3.61,1.34,4.85
2022,삼성,원태인,27,27,0,165.1,10,8,0,0,130,38,3.92,3.72,1.29,3.8
2022,삼성,오승환,57,0,57,57.0,6,2,31,2,51,13,3.32,3.98,1.26,1.34
2022,삼성,백정현,24,24,0,124.2,4,13,0,0,70,37,5.27,5.62,1.53,1.18
2022,삼성,홍정우,26,0,26,26.2,5,2,0,1,20,13,3.04,4.53,1.2,0.58
2022,삼성,이승현,54,0,54,50.0,0,2,0,13,39,22,4.68,4.51,1.4,0.53
2022,삼성,우규민,60,0,60,47.0,4,3,1,16,31,6,3.26,3.42,1.3,0.45
2022,삼성,문용익,39,0,39,37.2,1,2,1,2,23,22,3.35,4.86,1.41,0.32
2022,삼성,이승민,2,0,2,5.1,0,0,0,0,2,5,1.69,5.75,1.31,0.19
2022,삼성,이승현,58,0,58,47.2,2,4,1,14,57,21,4.53,3.47,1.34,0.15
2022,삼성,김대우,4,0,4,4.1,1,0,0,0,5,0,2.08,0.9,0.92,0.14
2022,삼성,최하늘,14,5,9,33.2,1,4,0,1,18,15,6.15,5.78,1.69,0.14
2022,삼성,박주혁,8,0,8,6.2,0,0,0,0,3,4,1.35,6.3,1.35,0.14
2022,삼성,최충연,38,0,38,38.1,0,1,0,0,29,20,4.7,4.6,1.54,0.03
2022,삼성,김무신,37,1,36,35.0,3,3,0,3,32,22,5.91,4.22,1.74,0.03
2022,삼성,허윤동,12,12,0,55.0,4,3,0,0,36,34,6.55,6.13,1.78,0.03
2022,삼성,이수민,4,0,4,4.2,0,0,0,0,2,5,5.79,9.25,1.71,0.0
2022,삼성,노건우,3,0,3,2.0,0,0,0,0,2,3,4.5,5.93,2.5,-0.01
2022,삼성,박세웅,5,0,5,2.2,0,0,0,0,2,5,6.75,8.88,2.25,-0.02
2022,삼성,장필준,19,1,18,30.0,0,3,0,0,17,15,5.7,4.42,1.77,-0.04
2022,삼성,박정준,8,0,8,10.0,0,0,0,0,4,5,6.3,7.02,1.5,-0.06
2022,삼성,임대한,12,0,12,13.2,2,1,0,1,8,9,5.27,5.01,1.54,-0.12
2022,삼성,김서준,3,0,3,2.2,0,0,0,0,2,4,10.13,12.18,3.75,-0.12
2022,삼성,이상민,46,0,46,29.1,0,0,0,9,23,15,3.68,5.75,1.53,-0.18
2022,삼성,양창섭,6,6,0,20.1,2,3,0,0,10,12,8.41,6.29,1.77,-0.2
2022,삼성,이재익,42,0,42,33.1,3,2,0,7,21,9,5.94,4.57,1.5,-0.2
2022,삼성,김승현,6,0,6,4.0,0,1,0,2,5,4,11.25,9.71,2.5,-0.34
2022,삼성,황동재,16,13,3,66.1,1,3,0,0,53,31,7.06,4.85,1.84,-0.56
2023,삼성,뷰캐넌,30,30,0,188.0,12,8,0,0,139,43,2.54,3.05,1.15,5.57
2023,삼성,원태인,26,26,0,150.0,7,7,0,0,102,34,3.24,4.17,1.27,3.89
2023,삼성,백정현,18,18,0,100.2,7,5,0,0,61,30,3.67,3.91,1.29,2.56
2023,삼성,수아레즈,19,19,0,108.0,4,7,0,0,88,32,3.92,3.12,1.49,2.2
2023,삼성,오승환,58,1,57,62.2,4,5,30,2,44,15,3.45,4.59,1.15,0.82
2023,삼성,와이드너,10,9,1,53.1,3,3,0,0,42,17,4.56,3.71,1.46,0.78
2023,삼성,이호성,5,2,3,17.0,1,0,0,0,11,10,2.65,4.76,1.24,0.58
2023,삼성,이승현,60,0,60,60.0,4,4,0,14,42,15,3.6,3.81,1.38,0.53
2023,삼성,김대우,44,5,39,64.0,0,2,0,4,49,22,4.5,4.4,1.38,0.25
2023,삼성,문용익,14,0,14,13.0,1,0,0,0,12,12,4.15,4.88,1.54,0.24
2023,삼성,이재익,51,0,51,41.0,1,3,0,11,26,17,3.95,4.27,1.54,0.2
2023,삼성,우규민,56,0,56,43.0,3,1,0,13,28,5,4.81,3.63,1.4,0.17
2023,삼성,이재희,2,1,1,8.0,0,0,0,0,5,5,3.38,5.71,1.13,0.12
2023,삼성,홍원표,3,0,3,3.2,0,0,0,0,1,2,2.45,4.86,1.09,0.11
2023,삼성,박권후,4,0,4,2.2,0,0,0,0,0,1,3.38,9.47,1.88,0.0
2023,삼성,이승현,48,0,48,43.1,1,5,5,7,37,29,4.98,5.51,1.62,-0.02
2023,삼성,김서준,8,1,7,7.2,0,1,0,1,2,6,7.04,6.43,1.96,-0.04
2023,삼성,최충연,7,0,7,9.1,0,0,0,0,8,7,4.82,8.85,1.82,-0.13
2023,삼성,김시현,2,0,2,3.0,0,0,0,0,2,2,12.0,12.18,2.67,-0.13
2023,삼성,박세웅,2,0,2,0.2,0,0,0,0,1,3,27.0,31.9,6.0,-0.14
2023,삼성,최채흥,15,14,1,63.1,1,7,0,0,33,16,6.68,5.12,1.67,-0.14
2023,삼성,최지광,22,0,22,17.1,2,0,0,1,18,9,5.19,5.79,1.5,-0.15
2023,삼성,황동재,7,7,0,31.2,0,5,0,0,27,21,7.11,6.22,1.93,-0.17
2023,삼성,허윤동,7,1,6,10.2,0,1,0,0,8,12,10.13,5.46,2.63,-0.3
2023,삼성,노건우,16,0,16,12.1,0,1,0,1,12,5,7.3,5.82,2.19,-0.31
2023,삼성,이상민,23,0,23,18.0,2,1,0,1,17,3,8.5,3.33,1.94,-0.33
2023,삼성,장필준,17,3,14,19.1,1,1,0,1,11,12,7.91,5.9,2.07,-0.4
2023,삼성,홍정우,36,1,35,36.0,2,3,0,3,22,21,7.5,5.95,1.58,-0.45
