,삼성
R_per_G,-0.5613425925925917
ERA,-0.4650000000000003
K9,-0.4565076555615759
HR9,-0.18748636428752286
KBB,-0.10029076882994215
WHIP,-0.06833333333333313
OBP,-0.01666666666666672
SO_rate,-0.011628630896118375
BB_rate,-0.010331037343656702
ISO,-0.0063333333333333575
GDP_rate,-0.001338574207692806
HR_rate,-9.007048440683521e-05
BB9,0.04491688686759865
