metric,champion_mean,champion_median,league_mean,league_std,gap_vs_league,z_gap_vs_league
win_pct,0.6025,0.6045,0.49998333333333334,0.07242133471721039,0.1025166666666667,1.415558924272413
RunDiff,144.5,146.0,0.0,106.75251753471672,144.5,1.3535980540506458
OBP,0.3581666666666667,0.361,0.3427333333333334,0.012441686202261945,0.015433333333333299,1.2404535110785435
OPS,0.7749999999999999,0.7625,0.7348833333333334,0.03821216720132768,0.04011666666666647,1.0498401322098427
ISO,0.13883333333333334,0.13649999999999998,0.12648333333333334,0.018427779452651248,0.01235,0.6701838402034477
BB_rate,0.11306290391836331,0.11306356026203783,0.1069510046483079,0.009188635658269304,0.0061118992700554126,0.6651585172554986
SO_rate,0.16949964379280844,0.17079372603392595,0.1844498403714596,0.019157692144872573,-0.014950196578651154,-0.7803756561905331
HR_rate,0.02375162701391917,0.023607265729081846,0.021139529394011317,0.005123111501434667,0.0026120976199078515,0.5098654634349388
R_per_G,5.486111111111111,5.399305555555555,4.864583333333334,0.528181954157401,0.6215277777777768,1.1767304295151255
GDP_rate,0.017883541303134885,0.017750683000194844,0.01880634935716697,0.002324864894163074,-0.000922808054032085,-0.39692975550920595
ERA,3.9966666666666666,3.83,4.436333333333334,0.5254742831216598,-0.4396666666666671,-0.836704441661275
WHIP,1.37,1.355,1.438333333333333,0.08412622790914984,-0.06833333333333291,-0.8122714524550881
KBB,2.1007720250166906,2.129488828437119,2.0004789059988157,0.3112764836507159,0.10029311901787485,0.3221994730909836
K9,7.362530046347092,7.421342862256353,7.314747077221501,0.5853099143253112,0.0477829691255911,0.08163704040562972
BB9,3.512711018532741,3.4679732900838385,3.7175819360403377,0.4708985479907983,-0.20487091750759667,-0.43506381232587704
HR9,0.7856245741560498,0.7696275222323786,0.8403742203745056,0.16928287333311184,-0.054749646218455794,-0.32342105932193393
FPCT,0.979,0.9795,0.9799333333333331,0.002638602323621776,-0.0009333333333331195,-0.3537226223813884
E_per_G,0.7800925925925926,0.7673611111111112,0.7407407407407408,0.10001500230400964,0.03935185185185175,0.39345949052959345
CS%,26.033333333333335,22.4,28.694999999999997,6.259510763630013,-2.6616666666666617,-0.42521960056876856
SB_success_rate,70.41666666666667,71.35,72.365,5.508140188242609,-1.9483333333333235,-0.3537189081519993
SBA_per_G,1.2037037037037035,1.1354166666666667,0.9591435185185185,0.2912311885324781,0.24456018518518496,0.839745861071853
OOB_per_G,0.3599537037037037,0.3368055555555556,0.3299768518518519,0.05838417739357603,0.029976851851851838,0.513441366995267
