Year,rank,Team,win_pct,WAR_pitcher,WAR_hitter,WAR_total,ERA,FIP,WHIP,R,OPS,E,FPCT,SB_success_rate,WAR_pitcher_share,WAR_hitter_share,ERA_good,FIP_good,WHIP_good,E_good
2023,6,KIA,0.514,18.4,26.02,44.42,4.13,4.25,1.42,726,0.735,102,0.981,78.2,0.4142278253039171,0.5857721746960828,-4.13,-4.25,-1.42,-102
2023,7,롯데,0.472,19.3,14.49,33.79,4.15,3.95,1.46,653,0.7,103,0.981,70.6,0.5711749038176975,0.42882509618230247,-4.15,-3.95,-1.46,-103
2023,8,삼성,0.427,13.37,16.37,29.74,4.6,4.41,1.47,636,0.702,103,0.981,74.6,0.4495628782784129,0.5504371217215871,-4.6,-4.41,-1.47,-103
2023,9,한화,0.42,13.06,14.01,27.07,4.38,4.22,1.4,604,0.674,109,0.98,75.3,0.4824528998891762,0.5175471001108238,-4.38,-4.22,-1.4,-109
2023,10,키움,0.411,14.27,11.73,26.0,4.42,4.14,1.45,607,0.684,114,0.979,83.1,0.5488461538461539,0.4511538461538462,-4.42,-4.14,-1.45,-114
2024,1,KIA,0.613,21.04,29.05,50.09,4.4,4.88,1.48,858,0.828,146,0.973,74.0,0.4200439209423038,0.5799560790576961,-4.4,-4.88,-1.48,-146
2024,2,삼성,0.549,25.56,20.08,45.64,4.68,5.2,1.45,770,0.774,81,0.984,79.6,0.5600350569675723,0.43996494303242767,-4.68,-5.2,-1.45,-81
2024,3,LG,0.535,19.09,30.35,49.44,4.63,4.79,1.49,808,0.78,102,0.981,68.4,0.3861245954692557,0.6138754045307444,-4.63,-4.79,-1.49,-102
2024,4,두산,0.521,18.97,25.91,44.88,4.82,5.03,1.49,789,0.774,84,0.984,78.6,0.42268270944741526,0.5773172905525846,-4.82,-5.03,-1.49,-84
2024,5,KT,0.507,17.69,20.34,38.03,5.11,4.72,1.47,767,0.772,116,0.978,69.3,0.4651590849329477,0.5348409150670523,-5.11,-4.72,-1.47,-116
2024,6,SSG,0.507,17.41,15.15,32.56,5.25,5.13,1.55,756,0.762,119,0.977,79.3,0.5347051597051596,0.46529484029484025,-5.25,-5.13,-1.55,-119
2024,7,롯데,0.471,21.3,18.41,39.71,5.05,4.77,1.53,802,0.782,123,0.977,71.4,0.5363888189372954,0.4636111810627046,-5.05,-4.77,-1.53,-123
2024,8,한화,0.465,17.57,13.05,30.62,4.98,4.67,1.53,745,0.745,105,0.98,62.7,0.5738079686479425,0.42619203135205747,-4.98,-4.67,-1.53,-105
2024,9,NC,0.43,14.84,23.11,37.95,5.0,4.91,1.51,773,0.781,108,0.979,75.9,0.39104084321475624,0.6089591567852437,-5.0,-4.91,-1.51,-108
2024,10,키움,0.403,12.85,13.17,26.02,5.16,5.25,1.5,672,0.717,104,0.98,84.5,0.49385088393543425,0.5061491160645657,-5.16,-5.25,-1.5,-104
2025,1,LG,0.603,25.53,36.33,61.86,3.79,4.0,1.35,788,0.77,92,0.983,71.2,0.41270611057226,0.5872938894277401,-3.79,-4.0,-1.35,-92
2025,2,한화,0.593,31.3,20.0,51.3,3.55,3.58,1.27,689,0.73,86,0.984,72.7,0.6101364522417154,0.38986354775828463,-3.55,-3.58,-1.27,-86
2025,3,SSG,0.536,29.85,15.09,44.94,3.63,4.07,1.3,609,0.706,106,0.98,73.3,0.6642189586114821,0.33578104138851805,-3.63,-4.07,-1.3,-106
2025,4,삼성,0.521,24.23,29.63,53.86,4.12,4.39,1.35,775,0.78,87,0.984,75.4,0.4498700334199777,0.5501299665800222,-4.12,-4.39,-1.35,-87
2025,5,NC,0.514,11.73,23.51,35.24,4.82,4.92,1.5,732,0.743,116,0.978,74.4,0.3328603859250851,0.6671396140749148,-4.82,-4.92,-1.5,-116
2025,6,KT,0.511,20.42,16.72,37.14,4.09,4.03,1.4,648,0.706,103,0.981,66.7,0.5498115239633818,0.45018847603661816,-4.09,-4.03,-1.4,-103
2025,7,롯데,0.478,14.16,16.94,31.1,4.75,4.32,1.49,676,0.718,111,0.979,76.5,0.4553054662379421,0.5446945337620579,-4.75,-4.32,-1.49,-111
2025,8,KIA,0.464,13.15,21.22,34.37,4.66,4.32,1.43,668,0.734,123,0.977,77.8,0.38260110561536226,0.6173988943846378,-4.66,-4.32,-1.43,-123
2025,9,두산,0.442,15.3,21.63,36.93,4.3,4.44,1.38,647,0.714,120,0.977,77.0,0.41429731925264013,0.5857026807473599,-4.3,-4.44,-1.38,-120
2025,10,키움,0.336,-3.52,7.16,3.64,5.39,5.03,1.57,581,0.671,119,0.977,84.7,-0.967032967032967,1.967032967032967,-5.39,-5.03,-1.57,-119
